DNA Sequence,avg_reward,highest reward in an episode,the whole 10 episodes reward,what kind of mutaion 
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],identity
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],identity
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],change the activation fucntion of a layer
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],change the activation fucntion of a layer
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],identity
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],identity
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],identity
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],change the activation fucntion of a layer
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],identity
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],identity
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],change the activation fucntion of a layer
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],identity
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],change the activation fucntion of a layer
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],change the activation fucntion of a layer
"['C', 37, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",335.3,500,[],change the activation fucntion of a layer
"['C', 61, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",331.1,500,"[155.0, 407.0, 283.0, 444.0, 284.0, 500.0, 357.0, 202.0, 460.0, 219.0]",alter a layer: add
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'T', 'C', 38, 'R', 'C', 1]",330.9,451,"[214.0, 359.0, 376.0, 327.0, 305.0, 451.0, 285.0, 322.0, 427.0, 243.0]",change the activation fucntion of a layer
"['C', 54, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",326.6,500,"[170.0, 500.0, 140.0, 500.0, 372.0, 500.0, 343.0, 111.0, 455.0, 175.0]",remove a classical layer
"['C', 57, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",324.7,500,"[220.0, 23.0, 272.0, 500.0, 405.0, 500.0, 500.0, 213.0, 419.0, 195.0]",alter a layer: add
"['C', 61, 'R', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",324.1,500,"[167.0, 500.0, 500.0, 201.0, 385.0, 287.0, 483.0, 111.0, 360.0, 247.0]",remove a classical layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'T', 'C', 55, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",323.6,500,"[172.0, 292.0, 500.0, 458.0, 444.0, 282.0, 349.0, 135.0, 378.0, 226.0]",change the activation fucntion of a layer
"['C', 55, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",323.3,500,"[169.0, 346.0, 379.0, 387.0, 291.0, 500.0, 272.0, 258.0, 211.0, 420.0]",remove a classical layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 42, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",321.4,500,"[170.0, 82.0, 500.0, 395.0, 279.0, 423.0, 500.0, 251.0, 114.0, 500.0]",remove a classical layer
"['C', 37, 'R', 'C', 36, 'T', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",321.1,500,"[313.0, 199.0, 381.0, 500.0, 177.0, 398.0, 496.0, 166.0, 418.0, 163.0]",add a classical layer
"['C', 50, 'T', 'C', 13, 'T', 'C', 2, 'T', 'C', 9, 'R', 'C', 55, 'T', 'C', 42, 'T', 'C', 38, 'R', 'C', 1]",320.4,500,"[252.0, 379.0, 381.0, 235.0, 500.0, 111.0, 241.0, 181.0, 500.0, 424.0]",change the activation fucntion of a layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'C', 9, 'T', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",313.7,500,"[140.0, 33.0, 70.0, 500.0, 500.0, 500.0, 130.0, 500.0, 264.0, 500.0]",change the activation fucntion of a layer
"['C', 51, 'T', 'C', 2, 'T', 'C', 9, 'R', 'C', 64, 'T', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",313.7,500,"[169.0, 381.0, 141.0, 500.0, 134.0, 413.0, 130.0, 500.0, 269.0, 500.0]",remove a classical layer
"['C', 37, 'R', 'C', 34, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",313.6,500,"[314.0, 200.0, 488.0, 293.0, 286.0, 500.0, 123.0, 314.0, 158.0, 460.0]",alter a layer: add
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'R', 'C', 55, 'T', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",312,500,"[242.0, 275.0, 95.0, 205.0, 184.0, 500.0, 405.0, 489.0, 225.0, 500.0]",add a classical layer
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'R', 'C', 55, 'T', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",312,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'R', 'C', 55, 'T', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",312,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'R', 'C', 55, 'T', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",312,500,[],identity
"['C', 50, 'T', 'C', 13, 'R', 'C', 2, 'T', 'Q', 2, 'F', 3, 'C', 9, 'R', 'C', 55, 'T', 'C', 29, 'R', 'C', 42, 'R', 'C', 38, 'R', 'C', 1]",312,500,[],identity
"['C', 37, 'T', 'C', 24, 'R', 'C', 5, 'T', 'C', 1]",311.6,500,"[242.0, 469.0, 273.0, 259.0, 154.0, 500.0, 337.0, 137.0, 248.0, 497.0]",remove a classical layer
"['C', 37, 'T', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",307.8,445,"[299.0, 209.0, 378.0, 283.0, 256.0, 204.0, 266.0, 399.0, 339.0, 445.0]",change the activation fucntion of a layer
"['C', 60, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",307.2,471,"[173.0, 337.0, 269.0, 471.0, 231.0, 422.0, 346.0, 380.0, 371.0, 72.0]",alter a layer: add
"['C', 37, 'R', 'C', 63, 'T', 'C', 2, 'R', 'C', 24, 'T', 'C', 1]",306.8,451,"[220.0, 293.0, 363.0, 218.0, 334.0, 258.0, 217.0, 364.0, 350.0, 451.0]",add a classical layer
"['C', 47, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",305.1,500,"[248.0, 340.0, 282.0, 334.0, 279.0, 446.0, 144.0, 500.0, 225.0, 253.0]",remove a classical layer
"['C', 37, 'T', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",305,500,"[169.0, 344.0, 500.0, 254.0, 129.0, 474.0, 441.0, 326.0, 219.0, 194.0]",change the activation fucntion of a layer
"['C', 37, 'T', 'C', 2, 'T', 'C', 24, 'T', 'C', 5, 'T', 'C', 1]",304.8,500,"[287.0, 500.0, 229.0, 120.0, 500.0, 407.0, 326.0, 267.0, 233.0, 179.0]",change the activation fucntion of a layer
